Timestamp,Participant_ID,Intervention,Answerability,Effectiveness,Deliverability,Impact,Equity
2026-03-10 22:09:33,r4665858,IVOST (Intravenous-to-Oral Switch),2,7,4,2,2
2026-03-10 22:09:40,r4665858,POCT (Point-of-Care Testing),7,3,6,2,7
2026-03-10 22:09:50,r4665858,5-Day Rule (Prescription Duration),3,2,2,4,8
2026-03-10 22:10:01,r4665858,Access Category Shift (AWaRe Framework),2,5,4,3,10
2026-03-10 22:11:02,797976,IVOST (Intravenous-to-Oral Switch),3,7,3,2,7
2026-03-10 22:11:10,797976,POCT (Point-of-Care Testing),6,6,3,2,7
2026-03-10 22:11:16,797976,5-Day Rule (Prescription Duration),7,3,8,3,8
2026-03-10 22:11:24,797976,Access Category Shift (AWaRe Framework),3,7,4,3,9
2026-03-10 22:13:54,Anonymous,IVOST (Intravenous-to-Oral Switch),2,6,4,3,8
2026-03-10 22:14:01,Anonymous,POCT (Point-of-Care Testing),3,7,4,3,7
2026-03-10 22:14:08,Anonymous,5-Day Rule (Prescription Duration),4,7,4,2,7
2026-03-10 22:14:15,Anonymous,Access Category Shift (AWaRe Framework),3,6,3,2,7
2026-03-10 22:14:57,Anonymous,IVOST (Intravenous-to-Oral Switch),3,3,6,3,7
2026-03-10 22:18:53,r4665858,IVOST (Intravenous-to-Oral Switch),2,7,3,4,8
2026-03-10 22:19:02,r4665858,POCT (Point-of-Care Testing),3,7,3,3,9
2026-03-10 22:19:09,r4665858,5-Day Rule (Prescription Duration),3,7,3,2,8
2026-03-10 22:19:16,r4665858,Access Category Shift (AWaRe Framework),3,7,3,2,8
2026-03-10 22:26:45,test case,IVOST (Intravenous-to-Oral Switch),7,4,6,3,7
2026-03-10 22:35:35,test case,IVOST (Intravenous-to-Oral Switch),3,7,4,7,5
2026-03-10 22:35:44,test case,POCT (Point-of-Care Testing),3,7,3,4,7
2026-03-10 22:35:50,test case,5-Day Rule (Prescription Duration),3,6,2,2,5
2026-03-10 22:35:59,test case,Access Category Shift (AWaRe Framework),7,2,10,2,3
2026-03-10 22:36:58,test case,IVOST (Intravenous-to-Oral Switch),2,7,3,2,7
2026-03-10 22:37:06,test case,POCT (Point-of-Care Testing),3,7,3,2,5
2026-03-10 22:37:22,test case,5-Day Rule (Prescription Duration),3,7,4,2,7
2026-03-10 22:37:24,test case,Access Category Shift (AWaRe Framework),5,5,5,5,5
